Source Name	Sample Name	Release Date	Characteristics [Organism]	Term Source REF	Term Accession Number	unit	Characteristics [project name]	Term Source REF	Term Accession Number	unit	Characteristics [collection date]	Term Source REF	Term Accession Number	unit	Characteristics [geographic location (country and/or sea)]	Term Source REF	Term Accession Number	unit	Characteristics [geographic location (latitude)]	Term Source REF	Term Accession Number	unit	Characteristics [geographic location (longitude)]	Term Source REF	Term Accession Number	unit	Characteristics [Depth]	Term Source REF	Term Accession Number	unit	Characteristics [broad-scale environmental context]	Term Source REF	Term Accession Number	unit	Characteristics [local environmental context]	Term Source REF	Term Accession Number	unit	Characteristics [environmental medium]	Term Source REF	Term Accession Number	unit
BIOCEAN5D	DA20	2024-09-09	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	19.4			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000059		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000154		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002160	
BIOCEAN5D	DA22	2024-09-09	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	9.6			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000060		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000155		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002161	
BIOCEAN5D	DA24	2024-09-09	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	11.1			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000061		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000156		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002162	
BIOCEAN5D	DA25	2024-09-09	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	11.2			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000062		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000157		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002163	
BIOCEAN5D	DA26	2024-09-09	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	3.6			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000063		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000158		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002164	
BIOCEAN5D	DA27	2024-09-09	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	3.7			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000064		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000159		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002165	
BIOCEAN5D	DA30	2024-09-09	Dysidea avara	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_196820		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	5.8			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000065		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000160		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002166	
BIOCEAN5D	CR1	2024-09-08	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_65874		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	4.2			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000066		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000161		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002167	
BIOCEAN5D	CR3	2024-09-08	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_65874		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	4			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000067		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000162		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002168	
BIOCEAN5D	CR4	2024-09-08	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_65874		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	5.1			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000068		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000163		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002169	
